x,y,z
1.641823,0.123859,-4.638804
1.904105,0.113046,-4.640932
5.459922,-1.346094,-4.989675
1.548520,0.116747,-4.105776
2.836528,-0.425367,-5.215008
1.771184,0.119152,-4.635243
1.697108,-0.092528,-4.637003
1.937303,-0.301391,-4.646971
1.655320,0.124109,-4.648114
1.450757,0.117784,-4.017771
1.358175,0.120540,-4.037920
1.713774,-0.088925,-4.607619
2.086725,-0.293915,-4.632215
1.575004,0.123336,-4.627461
0.531880,-0.349759,-4.818696
-0.235036,0.250378,-5.261936
0.541170,0.123098,-3.227200
0.524900,0.125809,-3.205013
0.323435,0.118496,-2.868729
0.126873,0.125012,-2.900112
0.118662,0.124467,-2.884027
0.255860,0.119101,-2.845488
1.863028,-0.098499,-4.641804
1.459934,0.118276,-4.025815
2.923525,-0.581863,-5.120311
1.385072,0.117389,-3.961861
1.748396,-0.015194,-4.625824
1.774069,-0.264044,-4.646258
1.726292,-0.094647,-4.630482
1.893971,0.117808,-4.635869
1.563655,0.140882,-4.620026
1.577131,0.122031,-4.646935
1.800629,-0.315929,-4.679485
5.637215,0.652431,-4.903005
1.763563,-0.259708,-4.631206
1.960892,-0.294707,-4.638523
5.655343,-0.296041,-4.938949
5.068947,-1.292672,-4.859306
1.467337,0.123229,-4.600463
1.971382,-0.307929,-4.647201
1.744913,-0.301785,-4.637096
1.447105,0.220958,-4.767972
1.728594,-0.476286,-4.608556
1.975227,-0.292010,-4.617284
1.747304,0.128009,-4.765592
1.700045,-0.092425,-4.644639
1.531215,-0.235929,-4.591548
1.900323,-0.098144,-4.626858
2.023962,0.300695,-4.568962
2.888153,-0.579085,-5.096515
2.161734,-0.513072,-4.646869
1.536137,-0.477821,-4.604382
0.873573,0.167201,-4.849948
2.386322,-0.754806,-4.762210
2.599905,-0.111773,-4.987519
2.850956,-0.366772,-5.061568
1.353202,0.123122,-4.871163
1.687697,0.121930,-4.599668
1.409590,0.123059,-4.879982
1.667639,0.121198,-4.605746
1.821500,0.126795,-4.758059
1.433205,0.131059,-4.743967
1.879353,-0.098078,-4.651613
1.760131,-0.310821,-4.663520
1.434471,0.125695,-4.638670
0.571035,0.141943,-4.863806
1.498819,0.173231,-4.588564
0.349655,0.145471,-4.881452
0.535370,-0.178358,-4.805598
1.281599,0.159233,-4.919017
0.737703,0.272357,-3.484211
0.620413,0.121344,-3.376250
1.528601,0.131282,-5.082373
1.348824,0.101000,-4.788206
2.121022,-0.569930,-4.600327
2.111550,-0.682871,-4.599149
2.302473,-0.472394,-4.753161
0.391461,0.119151,-3.091028
2.000409,-0.514182,-4.636281
0.840311,0.163241,-5.029606
0.595557,0.211871,-4.986599
-0.345706,-0.117415,-2.183457
1.955484,-0.098000,-4.567358
0.534990,-0.127783,-4.800704
0.235184,0.155025,-4.779385
-0.337150,-0.221736,-2.217009
-0.335559,0.112018,-2.021968
-0.336368,0.107666,-2.072272
-0.344991,-0.223724,-2.213694
0.552616,0.183817,-5.020350
