frame_id,x,y,z,yaw
4,9.4316e-06,0.00131466,0.00381712,-0.000753528
45,0.00353479,-0.00246332,0.105566,-0.00067845
38,0.000294877,0.000272509,0.0417774,0.000288005
0,0.000464329,0.000429607,-3.65422e-05,0.000638419
46,0.00298826,-0.00303869,0.110046,0.00045487
20,-2.13176e-05,0.00140491,0.00360279,-0.00115563
55,0.00415932,-0.00666478,0.181165,0.000409159
44,0.000743528,-0.00243064,0.0925352,-0.000692657
110,0.0102067,-0.0205429,0.48622,0.00540583
88,0.00710182,-0.0151181,0.365476,0.000417942
175,0.0205044,-0.0341906,0.821294,0.00125852
140,0.0144329,-0.0260578,0.640743,0.00478855
162,0.0185045,-0.0311527,0.757469,0.00103505
189,0.0234458,-0.0374192,0.907143,0.00212932
215,0.0398454,-0.0462,1.07959,-0.000659673
224,0.064511,-0.0487107,1.14388,-0.000115883
1240,-0.109325,2.15592e-05,0.223814,-0.0135327
236,0.106287,-0.0528354,1.22863,0.0109592
200,0.027321,-0.0403152,0.9779,0.00316057
246,0.150539,-0.0574716,1.29191,0.0161501
257,0.20629,-0.061045,1.35889,0.028395
260,0.222517,-0.0628728,1.37638,0.0277173
315,0.66662,-0.0837299,1.60823,0.130647
293,0.479491,-0.078526,1.55323,0.0713353
276,0.350228,-0.070744,1.48368,0.0480291
280,0.38388,-0.0725913,1.50538,0.0443802
302,0.559067,-0.0806301,1.58336,0.0818416
309,0.62018,-0.0829764,1.59888,0.10244
351,1.00619,-0.0943737,1.58698,1.74116
356,1.05084,-0.0939725,1.56969,2.35668
324,0.757148,-0.0880912,1.61507,0.200633
360,1.08364,-0.0938586,1.55844,2.6201
373,1.19118,-0.0966896,1.50552,2.89514
367,1.13653,-0.0954697,1.53553,2.80246
381,1.26215,-0.0965284,1.47405,2.92507
405,1.45915,-0.100034,1.40785,2.92354
391,1.35101,-0.0962015,1.44223,2.92028
422,1.60538,-0.101044,1.35889,2.92281
528,1.85024,-0.103727,1.261,2.95803
436,1.73179,-0.103203,1.31667,2.93844
586,2.00502,-0.0898767,1.05653,3.05387
555,1.92225,-0.101597,1.17943,3.01977
674,2.18971,-0.0663786,0.582455,3.06865
692,2.20402,-0.0629392,0.469662,3.07458
703,2.20454,-0.0591535,0.39208,3.07906
727,2.19937,-0.0540085,0.235086,3.0777
711,2.20025,-0.0586534,0.338733,3.08129
719,2.19706,-0.0567294,0.290545,3.07891
