kf_frame_id,top_bow_frame_ids,top_hqbow_frame_ids
3,"55,68,57,80","55,57,80,68"
35,"",""
33,"",""
0,"55,80,51,57,111","57,55,51,98,80"
25,"111","80"
8,"68,80","68,80"
68,"3,8","132,156"
132,"68,55,182,25,80,57","182,198,68,80,221,213"
111,"170,25,55,0,3","170,182,198,206,220"
80,"3,0,8","132,156,25,170"
55,"3,0","3,0"
51,"0","0"
57,"3,0","3,0"
98,"33,156,0,8","156,170,182,25"
206,"156,132",""
198,"111","132"
182,"132,98","132,111,98"
170,"111,223,80,226","111,220,221,98"
156,"80,98,3,35,51,0","98,213,80,220,68"
679,"849,821,1051,870,556,374,0,595","595,821,574,849,563,870,556,984"
220,"","170"
224,"",""
223,"170,304",""
213,"",""
221,"132",""
304,"","374"
234,"292,290",""
226,"",""
241,"298",""
252,"318,321","304"
246,"334","304,298"
290,"362,234",""
258,"",""
292,"234,345",""
272,"",""
282,"345",""
298,"374","374"
362,"421,290,304","421,434"
345,"408,292,421","396,408,421,434"
334,"246,396","396"
321,"374,396","374,396,385"
318,"374","374,396"
442,"374",""
385,"298,440,321","334,318,321"
374,"298,321,318","318,321,440"
396,"448,334,345","345,334"
408,"345","345,334"
440,"374","374"
421,"362","362,345,334"
434,"345","345"
448,"396","345"
447,"374","385"
452,"","334"
456,"",""
468,"408","530"
503,"452,447,434,442","556,452"
489,"408",""
539,"595,1568","489,595"
512,"456,448,8,374","456,448"
530,"57,1575","468"
545,"595,170,80,1566","640,489"
563,"452,1513,1595","640,679,503"
556,"1023,679,640","503,679"
551,"1580,640,993","640"
574,"640,849,111","640,679,720,821"
640,"720,821,574,563,556,849,551,998","574,720,563,870,821,849,556,545"
595,"545,539,679,993,720","679,720,870,821,849"
720,"821,849,640,1038,1051,1021,489,595,272","821,849,640,595,870,574,563,396,374"
821,"720,640,988,1049,679,987,290,574","720,679,640,984,574,983,986,993"
849,"720,1025,679,1015,1026,1004,999,1003","720,984,986,983,988,987,991,993"
870,"1003,1012,991,993,983,987,1009,1016","984,986,983,987,988,991,993,720"
986,"","870,849"
983,"","870,849"
988,"","870"
984,"","870,849"
987,"","870"
991,"","870"
998,"",""
996,"",""
993,"","870"
1004,"",""
1003,"",""
999,"",""
1012,"",""
1009,"",""
1005,"",""
1010,"",""
1029,"",""
1016,"",""
1015,"",""
1026,"",""
1021,"",""
1023,"",""
1019,"",""
1025,"",""
1032,"",""
1049,"",""
1044,"",""
1033,"",""
1041,"",""
1038,"",""
1057,"",""
1059,"",""
1053,"",""
1065,"",""
1069,"1019,1010",""
1051,"",""
1496,"",""
1505,"",""
1507,"",""
1502,"",""
1504,"",""
1510,"",""
1506,"",""
1509,"",""
1511,"",""
1513,"",""
1533,"",""
1521,"",""
1516,"",""
1544,"",""
1531,"",""
1526,"",""
1547,"",""
1556,"",""
1558,"",""
1551,"",""
1554,"",""
1566,"","1621"
1575,"",""
1570,"",""
1568,"",""
1595,"",""
1588,"1531","1642,1651"
1580,"",""
1604,"1547,1551",""
1611,"",""
1621,"1568,1570","1568"
1631,"1580,1575,1544","1568,1580,1570"
1651,"1595,1580,1570,1544,1568","1588,1595,1580,1575,1566"
1642,"1588,1568,1570,1580","1588,1580,1568,1566"
