frame_id,x,y,z,yaw
66,-0.00147385,-0.00558295,-0.00608437,0.00834888
72,-0.00386548,-0.0102152,-0.0100492,0.00509438
0,0,0,0,0
67,-0.00192331,-0.00634498,-0.00623616,0.00784942
217,-0.0168195,-0.0258026,-0.0161364,-0.0901185
139,0.0124011,-0.0865158,-0.0677046,0.0870151
80,-0.00794031,-0.01888,-0.0132576,-0.00097595
98,-0.0101963,-0.0321806,-0.0240974,0.0110471
123,-0.00287296,-0.0536658,-0.0506117,0.0397152
225,-0.00422775,-0.0397408,-0.0148625,-0.0938527
221,-0.0137739,-0.0300455,-0.0144898,-0.1092
235,0.0180946,-0.0620486,-0.0209108,-0.0782897
230,0.00881343,-0.0541991,-0.0172333,-0.085927
242,0.0319925,-0.0669377,-0.0249809,-0.0582679
249,0.042236,-0.0802715,-0.036132,-0.0389737
255,0.0531618,-0.0893286,-0.0513608,-0.018123
271,0.04111,-0.114989,-0.0830363,0.0490044
275,0.0386058,-0.115797,-0.0864176,0.0762847
265,0.0460076,-0.11535,-0.0770011,0.0357649
278,0.0296003,-0.118564,-0.0866927,0.0820473
273,0.0376905,-0.117432,-0.0861393,0.0687856
276,0.035873,-0.119822,-0.0902346,0.0879266
277,0.0361777,-0.116329,-0.0871599,0.0786675
304,-0.0187692,-0.0900197,-0.0723579,-0.014458
280,0.0224579,-0.114274,-0.0852607,0.0686819
295,-0.00529297,-0.106706,-0.0832851,0.0206863
318,-0.036503,-0.0597486,-0.0528426,-0.0373801
279,0.028984,-0.118686,-0.0938426,0.0757572
332,-0.0363707,-0.0226704,-0.0261266,-0.0659793
339,-0.0236765,-0.0215137,-0.0181131,-0.0230328
325,-0.0390994,-0.0400479,-0.039823,-0.0597693
355,0.00118608,-0.0131923,-0.0131211,-0.0238245
347,-0.00949551,-0.0163191,-0.0137007,-0.0474204
361,0.00530416,-0.00293216,-0.00426829,-0.039653
