x,y,z
2.813350,-0.182372,-0.158810
2.668248,-0.030207,-0.209029
2.659096,-0.030653,-0.194608
2.672448,-0.029452,-0.211933
2.675288,-0.031100,-0.220576
2.680474,-0.053245,-0.217394
2.685304,-0.052845,-0.222364
2.690799,-0.055649,-0.231920
2.698622,-0.385596,2.093309
2.652674,-0.556053,2.049176
1.572740,-0.227422,3.203710
0.693902,-0.032748,1.701767
1.536351,-0.124042,3.086415
0.681461,-0.027670,1.637116
0.663696,-0.029446,1.662916
1.194971,-0.413982,3.823118
0.720191,-0.033735,1.962410
1.643761,-0.412792,2.782277
1.005343,-0.233091,3.855725
2.817789,-0.168953,-0.962343
2.836407,-0.728149,-1.552243
2.798169,0.024899,-0.920337
2.301062,-0.101665,-2.439390
2.900877,-0.365222,-1.621837
2.740682,-0.713512,-1.902509
1.944859,-0.430001,-2.082888
2.570431,-0.680077,-1.845965
2.894082,-0.392613,0.065081
2.485322,-0.032637,-1.865062
2.561131,-0.667331,-1.804897
2.527461,-0.669869,-1.848642
2.912956,-0.010315,-0.124081
2.516477,-0.363385,-2.181491
2.714946,-0.503892,-0.616392
2.694928,-0.025001,-0.367965
2.888318,-0.007746,-0.128550
2.803906,0.004971,-0.144190
2.697997,-0.253192,-0.145917
2.775993,-0.196230,-0.759051
2.710026,-0.506355,-0.407122
2.745788,-0.408079,-0.744220
2.696139,-0.397207,-0.610693
2.725774,0.017116,-0.661817
2.717757,-0.407852,-0.659681
2.708070,-0.157473,-0.582854
2.697553,-0.413046,-0.567509
2.784086,0.007835,-0.780888
2.739060,-0.432816,-0.680896
2.708538,-0.413153,-0.590176
2.729671,-0.509184,-0.658183
2.723835,-0.508199,-0.635376
2.729658,-0.467986,-0.634714
2.747328,-0.459071,-0.672497
2.709592,0.015436,-0.586304
2.695853,-0.486565,-0.475472
2.686337,-0.442944,-0.443249
2.704302,-0.453039,-0.486701
2.683261,-0.439370,-0.422902
2.696728,-0.027882,-0.360209
2.750542,-0.124494,-0.500763
2.941691,-0.409813,-0.231682
2.867904,-0.383160,-0.077807
2.959846,-0.005072,-0.148630
2.814194,-0.066980,-0.192546
2.781058,-0.112503,-0.149963
2.782708,-0.073340,-0.147787
2.779098,-0.113972,-0.148526
2.719844,-0.412112,-0.351205
2.687106,-0.032427,-0.260449
2.796885,-0.339974,-0.175605
2.852671,-0.217576,-0.267917
2.767230,-0.158282,-0.187236
2.725305,-0.046936,-0.103234
2.682461,-0.319962,-0.207303
2.721437,-0.150051,-0.118280
2.716392,-0.150154,-0.119119
2.729253,-0.070618,-0.167272
2.726606,-0.052809,-0.127529
2.665301,-0.404645,-0.190130
2.692745,-0.113698,-0.118801
2.705920,-0.108095,-0.124393
2.741190,-0.380822,-0.146041
2.722688,-0.429675,-0.202390
2.900777,-0.316937,0.025057
2.876514,-0.198512,0.066965
2.912611,-0.207439,0.055065
2.730254,-0.376660,-0.144010
2.730793,-0.199912,-0.178747
2.699513,-0.286234,-0.123998
2.696795,-0.195724,-0.126089
2.698497,-0.286584,-0.130139
2.685426,-0.196095,-0.120969
2.721015,-0.362413,-0.186492
2.671721,-0.339875,-0.117305
2.682539,-0.344821,-0.148875
2.663539,-0.353241,-0.104545
2.700142,-0.351594,-0.175846
2.666136,-0.354621,-0.110110
2.679457,-0.341765,-0.146593
2.667182,-0.403370,-0.112188
2.656618,-0.395504,-0.093449
2.715945,-0.480170,-0.412859
2.903609,-0.197184,-0.158485
2.913555,-0.348066,-0.141862
2.683914,-0.317388,-0.238344
2.686280,-0.318930,-0.243623
2.672342,-0.125908,-0.177912
2.111528,0.052419,-2.196859
2.684097,-0.113139,-0.233440
2.697841,-0.112997,-0.130612
2.715400,-0.408499,-0.659422
2.705205,-0.193809,-0.583075
2.721159,-0.454294,-0.625019
2.718952,-0.354396,-0.617152
2.703852,-0.113796,-0.137055
2.697758,-0.113512,-0.129345
2.693377,-0.066052,-0.120662
2.708406,-0.287674,-0.149937
2.714475,-0.269329,-0.172706
2.697824,-0.270489,-0.153699
2.730811,-0.348895,-0.154897
2.702615,-0.196015,-0.144444
2.694045,-0.195619,-0.135157
2.685529,-0.266558,-0.134821
2.695615,-0.197270,-0.138293
2.772513,-0.069984,-0.131947
2.766434,-0.069844,-0.125699
2.772216,-0.067637,-0.131225
2.778685,-0.199839,-0.145085
2.721838,-0.387549,-0.070203
2.764048,-0.178829,-0.119325
2.768859,-0.363517,-0.138462
2.793576,-0.373211,-0.176752
2.732213,-0.399430,-0.094375
2.742325,-0.402882,-0.107451
2.782197,0.004597,-0.117358
2.778183,-0.414903,-0.157846
2.736925,-0.284168,-0.109030
2.760452,-0.290549,-0.142089
2.761752,-0.290160,-0.143602
2.767437,-0.291434,-0.150440
2.690127,-0.358887,-0.063201
2.937928,-0.271821,0.176276
2.732477,-0.203711,-0.132205
2.809005,0.007038,-0.149134
2.717873,-0.140987,-0.126523
2.729099,-0.157695,-0.140058
2.728097,-0.318565,-0.138296
2.713440,-0.240753,-0.139085
2.698445,-0.259615,-0.354627
2.693094,-0.260482,-0.339643
2.883170,-0.389051,-0.137973
2.929669,-0.404316,-0.193770
2.917040,-0.400291,-0.175428
2.944687,-0.008056,-0.165474
2.909604,-0.000777,-0.133228
2.959107,-0.416025,-0.200626
2.871317,-0.407913,-0.246202
2.922921,-0.205815,-0.308763
2.918412,-0.321489,0.004428
2.909001,-0.403102,0.008627
2.902599,-0.400529,0.015162
2.964262,-0.209596,0.031144
2.779479,-0.116728,-0.143780
2.771818,-0.116480,-0.133415
2.739078,-0.322548,-0.080071
2.772029,-0.116357,-0.134235
2.782092,-0.200422,-0.149596
2.774356,-0.201405,-0.145009
2.770188,-0.137059,-0.140022
2.770830,-0.272548,-0.137325
2.749166,-0.153615,-0.157038
2.717862,-0.156835,-0.123928
2.720353,-0.112922,-0.153776
2.704877,-0.067182,-0.132972
2.706338,-0.287873,-0.143907
2.677739,0.005401,-0.120915
2.725327,-0.422852,-0.625685
2.730107,-0.123425,-0.471822
2.721092,-0.119722,-0.467263
2.704927,-0.337474,-0.457336
2.694329,-0.041550,-0.387640
2.700782,-0.023242,-0.374004
2.691135,-0.024558,-0.364210
2.693829,-0.023031,-0.370893
2.712337,-0.026186,-0.393147
2.697670,-0.261454,-0.354592
2.684778,-0.316223,-0.272165
2.679628,-0.057572,-0.213915
