kf_frame_id,top_bow_frame_ids,top_hqbow_frame_ids
12,"2151,2157",""
26,"",""
4,"2091,2090,2153",""
5,"2102,2153",""
0,"2158,76,2147",""
19,"",""
140,"2260,2232,2222,2223,2229,2242,2221","2260,2242,2272,2232,195"
150,"2242,2260,2272,2232,2306","2260,2272,2300,2291"
161,"2242,2281,2272,2221","2260,2272,216"
130,"2220,2215,2242,2223,2217,2221","2260,2242,2272,2232,2229,2234"
65,"",""
56,"2221",""
58,"",""
52,"",""
23,"",""
37,"",""
31,"",""
48,"",""
41,"",""
33,"",""
859,"",""
63,"",""
67,"",""
60,"",""
70,"",""
69,"",""
74,"",""
75,"",""
71,"",""
77,"",""
72,"",""
73,"",""
79,"",""
76,"",""
82,"",""
85,"",""
89,"",""
84,"",""
87,"",""
93,"",""
91,"",""
95,"",""
101,"",""
97,"2223",""
105,"2242,2232",""
106,"2222,2232,2223","2234,2216"
184,"2291,2300,2311,2306,236","2272,2281,2260"
172,"2272,2281,231,236","2272,2260,2281"
207,"2306,2291,2300,2311","2300,2291,2306,2311,2281"
195,"2306,2300,2272,2311,2291","2272,2281,2291,2306"
236,"2326,2324,2320,2314,2322","2329,2328,2324,2326"
216,"2314,2306,2311,2317","2306,2311,2300"
227,"2314,2320,2324,2317,2326","2311,2317,2320,2322"
231,"2320,2314,2324,2329,2317","2322,2329,2320"
221,"2314,2320,2311,2317,2306","2317,2311,2306,2320"
240,"2326,2329,2331,2328","2329,2331,2328,2333"
249,"2335,2329,2331,2328,2326,2333","2333,2331,2329"
245,"2333,2331,2329,2328,2324","2331,2333,2329,2328"
242,"2331,2326,2335,2328,2333","2331,2329,2333"
255,"2331,2333,2329,2324,2326","2333,2331,2329,2328"
267,"2335,2328,2333,2331,2329","2331,2333,321,2329,2328"
261,"2333,2329,2331,2335,2324","2333,2331,2329,2328"
307,"255,245,249,2335,2333,2331","255,249,2335,245,2333,2329"
401,"853","336"
321,"255,245,2335,2328,267,261,2333,216","376,267,261,255,249,2329,2331,245"
336,"1006,2147,41,660,2052,261,1411","394,401,267,746,755,405,261"
394,"73,2025,865,101","336"
376,"161,855,445,2242","321,775,768,776"
405,"1920",""
412,"",""
409,"",""
414,"",""
415,"",""
418,"",""
419,"",""
417,"",""
421,"",""
416,"",""
422,"",""
423,"",""
420,"",""
427,"",""
425,"",""
426,"",""
424,"",""
429,"",""
431,"",""
430,"",""
433,"",""
437,"",""
438,"",""
436,"",""
443,"",""
442,"",""
439,"",""
445,"",""
440,"",""
444,"",""
450,"",""
462,"",""
446,"",""
447,"",""
456,"",""
458,"",""
453,"",""
477,"",""
466,"",""
470,"",""
473,"",""
481,"",""
494,"",""
482,"",""
485,"",""
501,"",""
493,"",""
497,"",""
503,"",""
499,"",""
507,"",""
508,"",""
513,"",""
526,"",""
512,"",""
518,"",""
559,"508,1684",""
555,"485,450,1025",""
538,"93,485,430",""
544,"417,604",""
533,"",""
550,"470,872",""
570,"456",""
593,"658,867,654",""
564,"456,2221",""
580,"1093",""
594,"648,667,658","1127,1126"
604,"661,655","2223"
615,"678",""
629,"",""
639,"","580"
648,"",""
671,"",""
665,"",""
661,"",""
654,"",""
657,"",""
655,"",""
652,"",""
658,"",""
656,"",""
659,"",""
667,"",""
660,"",""
675,"",""
681,"",""
678,"",""
687,"",""
686,"",""
684,"",""
682,"",""
688,"",""
689,"",""
691,"",""
690,"",""
693,"",""
694,"",""
696,"",""
692,"",""
700,"",""
695,"",""
699,"",""
701,"",""
698,"",""
702,"",""
704,"",""
703,"",""
708,"",""
706,"",""
709,"",""
712,"",""
710,"",""
711,"",""
714,"",""
716,"",""
715,"",""
718,"",""
717,"",""
724,"",""
720,"",""
721,"",""
722,"",""
723,"",""
727,"",""
726,"",""
730,"",""
728,"671",""
725,"",""
733,"","1339,1334,1332"
729,"",""
735,"684","1339,1334,1332,1704"
734,"",""
740,"",""
742,"687",""
741,"",""
744,"805",""
745,"",""
746,"",""
751,"",""
755,"",""
754,"",""
772,"",""
763,"",""
776,"",""
768,"",""
766,"",""
775,"",""
774,"",""
787,"",""
785,"",""
801,"",""
794,"",""
796,"",""
798,"",""
802,"",""
811,"",""
805,"",""
807,"",""
808,"",""
812,"",""
814,"",""
821,"",""
818,"",""
815,"",""
817,"",""
825,"",""
819,"",""
827,"",""
838,"",""
823,"",""
834,"",""
836,"",""
830,"",""
832,"",""
837,"",""
846,"",""
844,"",""
850,"",""
848,"",""
840,"",""
852,"",""
849,"",""
853,"",""
851,"",""
855,"",""
854,"",""
857,"",""
856,"",""
865,"",""
867,"",""
869,"",""
872,"",""
875,"",""
874,"",""
877,"",""
878,"",""
879,"",""
880,"",""
876,"",""
882,"",""
883,"",""
881,"",""
884,"",""
887,"",""
885,"",""
890,"",""
888,"",""
886,"",""
889,"",""
893,"",""
892,"",""
891,"",""
894,"",""
897,"",""
896,"",""
895,"",""
899,"",""
904,"",""
901,"",""
902,"",""
900,"",""
905,"",""
903,"",""
906,"",""
912,"",""
908,"",""
910,"",""
907,"",""
909,"",""
913,"",""
911,"",""
916,"",""
914,"",""
917,"",""
919,"",""
915,"",""
918,"",""
920,"",""
925,"",""
924,"",""
922,"",""
926,"",""
928,"",""
930,"",""
931,"",""
927,"",""
934,"",""
932,"",""
935,"",""
937,"",""
944,"",""
938,"",""
940,"",""
943,"",""
941,"",""
947,"",""
945,"",""
948,"",""
951,"",""
958,"",""
952,"",""
949,"",""
950,"",""
955,"",""
961,"",""
959,"",""
1079,"",""
968,"",""
962,"",""
960,"",""
966,"",""
967,"",""
974,"",""
995,"",""
988,"",""
977,"",""
983,"",""
982,"",""
996,"",""
993,"",""
984,"",""
990,"",""
1008,"",""
1005,"",""
1009,"",""
1006,"",""
1012,"",""
1017,"",""
1015,"",""
1011,"",""
1018,"",""
1030,"",""
1022,"",""
1025,"",""
1043,"",""
1037,"",""
1020,"",""
1042,"",""
1038,"",""
1033,"",""
1032,"",""
1040,"",""
1082,"",""
1084,"",""
1045,"",""
1072,"",""
1085,"",""
1083,"",""
1080,"",""
1089,"",""
1086,"",""
1088,"",""
1087,"",""
1090,"",""
1092,"",""
1091,"",""
1094,"",""
1095,"",""
1093,"",""
1099,"",""
1098,"",""
1096,"",""
1097,"",""
1101,"",""
1100,"",""
1103,"",""
1105,"",""
1102,"",""
1109,"",""
1106,"",""
1104,"",""
1108,"",""
1112,"",""
1111,"",""
1107,"",""
1110,"",""
1114,"",""
1116,"",""
1115,"",""
1113,"",""
1119,"",""
1117,"",""
1118,"",""
1120,"",""
1121,"",""
