x,y,z
0.157783,0.114727,0.619866
0.140601,-0.218600,0.638209
0.270139,0.173956,0.599702
0.159905,0.179801,0.608465
0.121121,0.180156,0.571408
0.256462,-0.198174,0.572817
0.245062,-0.169861,0.583407
0.575185,-0.084380,0.376152
0.578058,-0.083049,0.380056
0.615291,-0.068562,0.335048
0.608060,-0.215794,0.405383
0.514059,-0.066842,0.452059
0.576991,-0.085061,0.377473
0.591889,-0.013795,0.336741
0.337842,-0.204648,0.538050
0.558447,0.076442,0.377005
0.342008,-0.120149,0.533927
0.438232,0.015656,0.333777
0.533861,0.141194,0.356972
0.596966,-0.226305,0.431978
0.602443,-0.050069,0.338380
0.503372,0.102204,0.401359
0.625577,-0.151298,0.352199
0.625449,-0.217245,0.364476
0.623525,-0.216660,0.363531
0.618567,-0.193375,0.391074
0.431828,-0.004837,0.357527
0.596993,-0.031811,0.336668
0.579991,-0.031607,0.395374
0.566174,-0.013583,0.378846
0.556414,-0.011519,0.370578
0.523564,0.078666,0.414294
0.392832,0.064597,0.378420
0.628281,-0.214356,0.370615
0.612548,-0.191564,0.386320
0.620383,-0.208328,0.361319
0.595893,-0.185479,0.372940
0.597702,-0.216079,0.393989
0.590659,-0.164497,0.384282
0.594237,-0.212093,0.392268
0.595131,-0.215458,0.391855
0.589780,-0.208630,0.390200
0.586803,-0.207405,0.388511
0.592574,-0.163363,0.388377
0.594230,-0.163500,0.391062
0.592625,-0.149163,0.380316
0.590589,-0.136448,0.380556
0.393571,0.046810,0.377093
0.511282,0.131657,0.406061
0.393898,0.064391,0.378955
0.636736,-0.188843,0.345542
0.643015,-0.189599,0.346702
0.637638,-0.146779,0.332374
0.605302,-0.031010,0.332313
0.601669,-0.007595,0.329972
0.595922,-0.013793,0.338039
0.586488,-0.100702,0.384054
0.589550,-0.002449,0.343623
0.577083,-0.045737,0.383444
0.574958,-0.047098,0.381244
0.572320,-0.045607,0.379474
0.575194,-0.027051,0.390173
0.425206,-0.005039,0.348585
0.174713,-0.217197,0.624930
0.176374,0.001506,0.594290
0.327620,0.046244,0.556404
0.627495,-0.107308,0.322064
0.518547,-0.029438,0.441112
0.556017,-0.080665,0.422140
0.401974,-0.076575,0.505308
0.323099,-0.121234,0.533970
0.597651,-0.050210,0.334844
0.606366,-0.012990,0.335550
0.512469,0.128605,0.413105
0.431024,0.021887,0.345922
0.576845,-0.109531,0.381695
0.621247,-0.149343,0.346357
0.612545,-0.031618,0.337222
0.393901,-0.065838,0.513503
0.605430,-0.085781,0.345727
0.441733,-0.067235,0.494707
0.621813,-0.081856,0.330830
0.619708,-0.081346,0.331729
0.610234,-0.066855,0.329657
0.606922,-0.049557,0.329824
0.600508,-0.062898,0.346220
0.605808,-0.087327,0.346002
0.601852,-0.025926,0.353365
0.608185,-0.017838,0.360447
0.613159,0.068476,0.312576
0.624657,-0.000012,0.310204
0.649076,0.002496,0.303435
0.425504,0.010414,0.350587
0.431179,0.022120,0.342675
0.609881,0.089341,0.311230
0.603946,0.041370,0.332691
0.553363,0.067285,0.385868
0.608352,-0.088341,0.348900
0.608019,-0.088592,0.348032
0.607953,-0.087887,0.348990
0.609587,-0.057649,0.353286
0.636322,-0.107065,0.316637
0.619025,-0.080637,0.331317
0.639944,-0.107229,0.318162
0.602660,-0.037954,0.349386
0.597242,-0.037670,0.344742
0.594298,-0.035566,0.343999
0.596150,-0.007446,0.351883
0.589851,-0.019817,0.341195
0.594104,0.030487,0.355861
0.583086,0.030438,0.346382
0.606299,-0.031538,0.332924
0.585171,0.031588,0.348533
0.582584,0.032135,0.346688
0.579552,0.032150,0.343743
0.596550,0.002663,0.352173
0.601736,-0.012652,0.332684
0.604267,-0.012993,0.336375
0.340100,-0.120262,0.531442
0.443447,0.099109,0.346946
0.408777,0.017698,0.365461
0.703121,0.211881,0.368917
0.701580,0.204842,0.375464
0.516133,-0.039549,0.454346
0.519678,-0.073213,0.457039
0.578095,-0.089723,0.388694
0.571355,-0.048664,0.378374
0.570370,-0.046521,0.376376
0.425963,-0.011058,0.481321
0.424315,-0.010884,0.477147
0.405524,-0.013290,0.490720
0.561030,-0.017382,0.386809
0.623984,-0.150079,0.348771
0.619734,-0.147801,0.340942
0.608621,-0.087739,0.348871
0.302525,-0.097162,0.552388
0.366863,0.082977,0.584437
0.358994,0.079364,0.567473
0.334328,0.186615,0.562683
0.424725,-0.011278,0.340169
0.365974,-0.012906,0.520929
0.513676,0.104690,0.699372
0.360460,0.133130,0.639735
0.364557,-0.211708,0.530442
0.302623,-0.108135,0.550059
0.242180,-0.207350,0.578180
0.301135,-0.108183,0.547718
0.389012,-0.151325,0.518371
0.275145,-0.090711,0.572967
0.288184,-0.056262,0.555988
0.380173,-0.206065,0.513360
0.395025,-0.005139,0.520870
0.455614,0.128547,0.823358
0.423066,0.124558,0.815760
0.416836,-0.006303,0.357760
0.333708,-0.212887,0.517727
0.317914,-0.202887,0.489110
0.455159,0.058361,0.352381
0.304416,-0.022697,0.557846
0.277150,-0.242318,0.586939
0.474875,0.120518,0.709741
0.513324,0.104022,0.687376
0.439727,0.128673,0.534172
0.430146,0.012100,0.356373
0.421553,0.010772,0.348130
0.423091,0.010496,0.349656
0.420173,-0.004974,0.344890
0.408295,0.017747,0.355910
0.400428,0.067770,0.392366
0.545278,-0.068440,0.411289
0.287025,-0.011223,0.547332
0.398900,0.047835,0.388266
0.439746,0.068221,0.332097
0.444709,0.029543,0.488473
0.424915,-0.042646,0.493700
0.518254,0.133590,0.415820
0.412797,0.027767,0.494781
0.431264,-0.005149,0.342933
0.431229,0.021829,0.341801
0.445014,-0.097609,0.486239
0.280083,-0.180756,0.551091
0.302543,-0.111213,0.565171
0.301635,-0.055967,0.550256
0.301074,-0.055714,0.549974
0.433168,-0.151099,0.481119
0.341138,0.184313,0.494363
0.354791,-0.182521,0.531884
0.076923,-0.001411,0.665293
0.235448,-0.192851,0.614622
0.396984,-0.142223,0.498575
0.407110,-0.007967,0.352965
0.252013,-0.097609,0.557610
0.187111,-0.197883,0.604110
0.894317,0.058143,-0.353023
1.132231,0.393896,-0.694473
0.873469,0.200826,-0.308675
1.755723,-0.127321,-1.216230
1.440708,-0.032254,-1.034474
1.493888,-0.107369,-0.657291
1.332628,-0.061508,-1.061188
1.328889,-0.106374,-1.022587
1.429319,-0.030036,-0.674782
1.406090,-0.065666,-0.769867
1.385245,-0.064586,-0.762662
1.374136,-0.063367,-0.759033
1.335280,-0.072439,-0.720199
1.388155,0.007385,-0.717136
1.375899,0.007175,-0.710716
1.374227,0.007680,-0.709980
1.361080,-0.011638,-0.658715
1.388285,-0.087338,-0.735070
1.322350,0.088292,-0.654704
1.319238,0.085006,-0.653590
1.306931,0.040147,-0.671762
1.338315,0.095049,-0.661963
1.319862,0.096194,-0.655365
1.318209,0.098689,-0.654992
1.246954,0.301507,-0.615305
1.245832,0.301393,-0.613266
1.255622,0.303991,-0.616756
1.115752,0.420066,-0.814912
1.124535,0.385278,-0.695132
1.223350,0.373626,-0.538849
1.180919,0.237633,-0.526313
1.177715,0.244793,-0.526954
