frame_id,x,y,z,yaw
48,0.00487538,-0.00130237,0.112352,-0.000641967
57,0.00850944,-0.00210186,0.170066,-0.00229276
73,0.0431545,-0.00309919,0.281067,0.000317673
0,-8.67995e-06,1.47601e-06,8.54651e-06,-7.26984e-08
66,0.0238254,-0.00236259,0.23058,-0.00390589
49,0.00487545,-0.00165679,0.118375,-0.00144542
80,0.0675146,-0.00263192,0.330334,0.00211856
91,0.108281,-0.00308515,0.399801,0.00262788
85,0.0853925,-0.00253704,0.363269,0.00196727
94,0.121217,-0.00343022,0.418996,0.00214247
87,0.0909513,-0.00333502,0.373364,0.00270957
109,0.209942,-0.00426164,0.529721,0.0072288
107,0.198141,-0.00386604,0.517636,0.00708091
100,0.152376,-0.0033745,0.46129,0.00347309
97,0.135592,-0.00426919,0.439393,0.00297058
98,0.139975,-0.00430002,0.445121,0.00335684
102,0.162402,-0.00350524,0.475353,0.00448421
112,0.230435,-0.00439696,0.550191,0.00827627
114,0.243275,-0.00437792,0.562244,0.00773495
296,1.38714,-0.0227637,1.98285,-0.0031629
115,0.251655,-0.00446214,0.569537,0.00826592
122,0.304761,-0.0051043,0.612874,0.0100097
121,0.29523,-0.00533842,0.605621,0.00966768
119,0.278567,-0.0048832,0.591673,0.00993548
124,0.318953,-0.00535009,0.623556,0.0111328
129,0.359767,-0.00578103,0.655793,0.0123083
126,0.335988,-0.00545325,0.635953,0.0117562
130,0.366437,-0.00538683,0.661856,0.0126233
143,0.46628,-0.00550843,0.760391,0.00474328
142,0.457983,-0.00547323,0.752229,0.00482979
144,0.472809,-0.00556397,0.766137,0.00440736
146,0.492018,-0.00538392,0.783987,0.00194473
151,0.534023,-0.00522439,0.82251,0.00404763
147,0.498602,-0.00551902,0.789804,0.00161505
154,0.555404,-0.00522738,0.842585,0.00381465
156,0.570984,-0.00513661,0.856605,0.00327959
160,0.604102,-0.0052422,0.88745,0.00388134
157,0.579101,-0.00525946,0.864601,0.00187061
166,0.662951,-0.00485969,0.940872,0.00609929
162,0.619812,-0.00522795,0.901963,0.00352526
159,0.595079,-0.00513019,0.879113,0.00369675
165,0.650977,-0.00494403,0.929809,0.00618601
163,0.630036,-0.00516097,0.910863,0.00507166
164,0.64047,-0.00502952,0.920415,0.00570195
168,0.690682,-0.00490295,0.966147,0.00832473
167,0.678472,-0.00500561,0.955271,0.0083566
169,0.706545,-0.00474016,0.980132,0.0126962
170,0.720756,-0.00471134,0.992799,0.0119923
176,0.799506,-0.00390532,1.06225,0.014669
173,0.757967,-0.00411208,1.0258,0.0137874
175,0.784425,-0.00415893,1.04929,0.0132402
177,0.81027,-0.00404296,1.07145,0.0147281
174,0.772961,-0.00417956,1.03936,0.0141509
178,0.826108,-0.00407558,1.08522,0.015038
179,0.839261,-0.00370331,1.09661,0.0155987
184,0.842611,-0.00444093,1.10391,0.014006
191,0.842139,-0.00430306,1.10297,0.0164812
196,0.842165,-0.0043129,1.10303,0.0162434
210,0.842375,-0.00429744,1.10309,0.0162213
231,0.922447,-0.0179091,1.18543,0.0195168
226,0.877129,-0.0180017,1.13723,0.0212444
223,0.851803,-0.0121245,1.11093,0.020424
221,0.843674,-0.0044614,1.10444,0.0164631
254,1.15688,-0.0148402,1.43005,0.0252398
224,0.859511,-0.0162835,1.11824,0.021216
240,1.00445,-0.0147177,1.27155,0.0275337
236,0.951042,-0.0152887,1.21708,0.017777
270,1.3196,-0.0168332,1.6246,0.0121177
250,1.11431,-0.0153859,1.38716,0.0208956
258,1.20487,-0.0154456,1.47798,0.017892
244,1.04936,-0.0147114,1.31916,0.0205563
263,1.26647,-0.0157673,1.54105,0.0123882
268,1.30772,-0.0165247,1.60049,0.0124128
274,1.34244,-0.0184937,1.67807,0.00677079
273,1.33707,-0.0182099,1.66408,0.0101544
271,1.32615,-0.0174858,1.63783,0.0114587
272,1.33181,-0.0178227,1.65105,0.00893929
277,1.35455,-0.0195525,1.71215,0.00750508
276,1.35154,-0.0187939,1.7027,0.00434081
281,1.36879,-0.019817,1.76378,0.0110604
275,1.34707,-0.0190786,1.68851,0.00937249
280,1.36502,-0.0195956,1.74908,0.00788231
278,1.3578,-0.0192727,1.72614,0.00461972
285,1.37967,-0.0200714,1.82399,5.02123e-05
286,1.38254,-0.020828,1.83946,0.000932797
283,1.37477,-0.020743,1.79317,0.00431545
282,1.37185,-0.0197658,1.77895,0.00638281
287,1.384,-0.020351,1.85154,0.00261874
284,1.37737,-0.0200936,1.80825,0.00250185
288,1.38601,-0.0210942,1.86691,0.000546518
290,1.38814,-0.0214835,1.89239,0.00023823
289,1.38707,-0.0216194,1.87778,0.00289062
293,1.38861,-0.0218156,1.93496,-0.00131761
292,1.38865,-0.0222286,1.9213,-0.000471633
294,1.38893,-0.0227759,1.94934,-0.00168147
295,1.38832,-0.0224352,1.96388,-0.00251602
300,1.38149,-0.024112,2.04304,-0.00480236
