kf_frame_id,top_bow_frame_ids,top_hqbow_frame_ids
1137,"",""
1134,"",""
1136,"",""
1139,"",""
1135,"",""
1138,"",""
1141,"",""
1144,"",""
1142,"",""
1143,"",""
1140,"",""
1145,"",""
1150,"",""
1148,"",""
1147,"",""
1146,"",""
1151,"",""
1149,"",""
1156,"",""
1155,"",""
1152,"",""
1161,"",""
1159,"",""
1154,"",""
1157,"",""
1158,"",""
1165,"",""
1164,"",""
1163,"",""
1168,"",""
1170,"",""
1166,"",""
1172,"",""
1171,"",""
1167,"",""
1174,"",""
1173,"",""
1169,"",""
1179,"",""
1181,"",""
1177,"",""
1176,"",""
1180,"",""
1182,"",""
1188,"",""
1187,"",""
1184,"",""
1185,"",""
1191,"",""
1190,"",""
1192,"",""
1193,"",""
1197,"",""
1194,"",""
1198,"",""
1196,"",""
1201,"",""
1202,"",""
1200,"",""
1199,"",""
1205,"",""
1203,"",""
1212,"",""
1209,"",""
1206,"",""
1208,"",""
1215,"",""
1211,"",""
1214,"",""
1218,"",""
1217,"",""
1222,"",""
1225,"",""
1219,"",""
1220,"",""
1228,"",""
1232,"",""
1230,"",""
1223,"",""
1226,"",""
1235,"",""
1243,"",""
1240,"",""
1237,"",""
1248,"",""
1257,"",""
1249,"",""
1245,"",""
1247,"",""
1255,"",""
1259,"",""
1258,"",""
1262,"",""
1270,"","1327"
1266,"","1327"
1282,"1337","1337"
1294,"",""
1263,"",""
1333,"",""
1327,"1270,1266,1259,1257","1266,1270"
1340,"",""
1342,"",""
1341,"",""
1337,"",""
1344,"",""
1343,"",""
1348,"",""
1352,"",""
1351,"",""
1349,"",""
1345,"",""
1350,"",""
1346,"",""
1347,"",""
1364,"1294,832,579,743,793","1294,1240,1169"
1353,"",""
1355,"",""
1395,"314,1606,1604,1662,85,49,1647,1266","631,632,633,909,642,639"
1386,"631,1710,745,839,1646,834,1627,848","631,632,633,1613"
1404,"762,802,1597,979,844,1262,1605","631,632,633,642,639,909"
1424,"",""
1412,"1146,112,121,1149,122,1594,325","1008,1015,1018,1020"
1419,"",""
1430,"",""
1438,"",""
1435,"",""
1444,"",""
1442,"",""
1441,"",""
1445,"",""
1447,"",""
1446,"",""
1449,"",""
1448,"",""
1451,"",""
1454,"",""
1450,"",""
1455,"",""
1453,"",""
1456,"",""
1452,"",""
1459,"",""
1458,"",""
1462,"",""
1457,"",""
1460,"",""
1465,"1538",""
1463,"",""
1461,"",""
1464,"1538",""
1468,"1538,1536",""
1467,"1538",""
1466,"1538",""
1469,"1538,1536,1542",""
1493,"1543,1547","1543"
1471,"1536,1538,1540,1542,1541","1540,1542"
1502,"",""
1536,"1471,1467,1468","1471,1469"
1538,"1471,1469,1467,1468","1471,1469"
1540,"1471",""
1547,"1493",""
1550,"223,165",""
1543,"1493","1493"
1542,"1471","1471"
1541,"1471",""
1558,"244,250,167,1493",""
1565,"258,254",""
1562,"250,240,1471",""
1553,"1471",""
1571,"250,278",""
1569,"273",""
1567,"258,263,273",""
1575,"271,273",""
1572,"272,268,273",""
1584,"",""
1583,"278",""
1581,"",""
1577,"273",""
1579,"271,275",""
1585,"",""
1586,"",""
1589,"",""
1594,"",""
1593,"",""
1587,"271",""
1592,"",""
1590,"",""
1591,"",""
1595,"",""
1596,"",""
1600,"",""
1598,"",""
1597,"",""
1601,"",""
1607,"",""
1603,"",""
1604,"",""
1602,"",""
1605,"",""
1606,"",""
1613,"",""
1611,"",""
1612,"",""
1608,"",""
1609,"",""
1610,"",""
1614,"",""
1615,"",""
1617,"",""
1621,"",""
1620,"",""
1619,"",""
1616,"",""
1623,"",""
1622,"",""
1628,"",""
1625,"",""
1626,"",""
1624,"",""
1635,"",""
1634,"",""
1627,"",""
1629,"",""
1632,"",""
1631,"",""
1630,"",""
1642,"",""
1640,"",""
1637,"",""
1639,"",""
1641,"",""
1638,"",""
1644,"",""
1645,"",""
1643,"",""
1650,"",""
1648,"",""
1646,"",""
1654,"",""
1651,"",""
1647,"",""
1659,"",""
1655,"",""
1649,"",""
1680,"",""
1662,"",""
1666,"",""
1673,"",""
1675,"",""
1671,"",""
1669,"",""
1668,"",""
1664,"",""
1676,"",""
1683,"",""
1685,"",""
1689,"",""
1688,"",""
1678,"",""
1696,"",""
1691,"",""
1694,"",""
1699,"",""
1701,"",""
1706,"",""
1704,"",""
1698,"",""
1710,"",""
1709,"",""
1707,"943",""
1708,"",""
1714,"945,1007,948",""
1712,"1012,948,985",""
1711,"945,943",""
