mp_id,mp_x,mp_y,mp_z,descriptor_hex,observations
1455,0.243963,0.028519,0.585142,"66f9e158cbd591de8bf9b0ef28dc75bfed93d391876bfad11b109dbe5f1c76ff","31;41;51;289;320"
1480,0.236712,-0.159384,0.586736,"ccdd04fe8bd15eb8975a85b3e9f7aae751f2bde27e44cfbfea63cffd3ab5ac12","0;20;21;24;41;51"
1481,0.226082,0.022657,0.581929,"82b8bbdbcbf0b147be574433bc9f6648e73bb391135db2f14f335a6b9044a5fa","20;21;24;41;51;320"
1485,0.226227,0.024631,0.591145,"4b12fd65265e79307dec56a5d93f9662b655fdcd85d0f5c84ffb6f8026a44579","0;20;21;24;41;51;289;320"
1489,0.251933,0.000627,0.616056,"f8f97a6e35dd52f061ecb42d7bdf22b0baf9dd424e2778bff3dd213b73ae4e5f","21;24;31;289;303"
1114,0.204253,-0.146266,0.601407,"21c9215e5dc047ae454cdc0230dcb56458ea12cbcbaa673d252ca288131b746c","20;21;24;51;294"
1115,0.202883,-0.144677,0.595307,"b679e850cb519dc893f6b4bf099f671f4bd9c3d24e66fed05e50c53f777d0ed6","20;21;24;31;51;303;320"
1118,0.187111,-0.197883,0.604110,"faf76abeffd8f6fdbf0ef7b76fecae51fffbcf63feefaafffaf736cb761efedf","20;21;31;41;294;320"
1126,0.180267,0.177786,0.591820,"40cd53816dade8e6ad30fa0a8c1a15cb6a814ee1013250d49590ca64155b639a","0;20;24;31"
1129,0.191001,-0.185045,0.609667,"2dfafb53e49dffb67bee7e6cdffdd7b8b76ff61cd5fcaee66e5f35eccfbe4bdd","0;20;21;24;294"
1130,0.190391,-0.001210,0.610237,"f5f7cd65b42f65bb74eafe4cd36199301dce6c2cf9f0f50eeeaf250469f8d220","0;20;21;24;31;51;303;320"
1135,0.176504,-0.190406,0.609776,"19307bed2652791825ecf7a2db5f92707ebd7fec8992e5c8c7fda38427a226f1","20;21;24;31;51;303;320"
1137,0.159905,0.179801,0.608465,"774022880d79be477d61fb1b8e8a76edfa89de83cca394d0b014ca7fdd5cbb86","20;21;31"
1139,0.178292,-0.022477,0.617255,"8659ef9fefd0fe96dfd5568728ccf76bee6bb7d7c7fcfee12f7adf83ad9d75df","20;24;31;41;51;294"
1141,0.176374,0.001506,0.594290,"05cfedbff42e6fbc76e07bc4d16399517fce3eeef1d05defecbfe7c42cf3d1f0","20;21;294"
1142,0.163990,-0.165546,0.616839,"5af384b0ab181c8fab7982fd8eae4a9ba747fd15164983e098d15eff8a548b5f","20;24;41;51;303"
1153,0.270139,0.173956,0.599702,"f760a58a0c17cad8c6f8914ed348d9ef5dc47eff8f677fb09808efbcbdbf5074","20;21;41"
1160,0.139282,0.176448,0.605969,"72d712a80b695cee3d05f8ab0eae24d0fe9dcfa1082380c1b1f40a5f417e2763","0;20;21;24;41"
1167,-0.024326,0.180878,0.618155,"5291fce5a75ef8192ff517b36d3f5e6ea6d7fd8594f8b5c0df795a83a7848d5f","0;20;21;31"
1169,0.137355,-0.201529,0.639677,"d9da5ffd26026d35754af6f67b63b07376e43ceef99da5cff6ebf2803db0e131","20;21;24;31;41;303;320"
1175,0.135916,-0.100360,0.640639,"69b15140754f63386968be4c9a1790b4a8845e68d1ab715d3f9d20744a824a79","20;21;24;41;294;320"
1176,0.265526,0.170857,0.625772,"aadf02985585afe79604c087adc730c54cbb83cd6b8a12ff21808e48191cb998","20;21;24;31;41"
1177,0.136517,-0.160501,0.637949,"f572ed67ac1b4f9862eab7eed368dd3b1ec47cfecd76ed0896c9e5b4edfb5231","20;21;24;41"
1179,0.136420,-0.208476,0.636287,"00af4bebf4a3ae675e0978e7b1aab4407b2b029513b804f72cacbec0dd4ae189","20;21;41;303"
1181,0.270121,0.170707,0.647797,"af9fc39ef737aefa59ca787668f8bda57f6a96eff5f23cef3e5eefaedf7f79b5","20;21;24;31;303"
1182,0.140601,-0.218600,0.638209,"059ee8fbf4ab6bdf5e6b5ff6dde3f868774f371db3986df7ecdfbfe4bcdb91b9","20;21;31;41"
1185,0.269417,0.171530,0.644314,"a5ff53cac661aff940ca794e50f9fd247bca12ebe1333cfa3c0cafac7ffbf2a1","20;21;24;31;51;303"
1197,0.121453,-0.151567,0.643289,"2bdf674ff693affd55c87ce66864bfa57eea96eee1ba2dff260ea6807f9ef2fd","20;21;24"
