kf_frame_id,top_bow_frame_ids,top_hqbow_frame_ids
24,"320,303,337,97","294,303,320,289"
20,"303,320,294,334","303,294,320,408"
0,"303,294,51,320,372","51,303,320,294,289"
165,"421,58,395,230,337,408,258,66","230,421,258,268,294,275,289,303,334"
31,"303,294,320","294,303,289"
21,"303,320,289,258","303,320,294"
58,"289,334,337,282,272,275,351,294","275,282,272,289,294"
41,"303,294,289,320","294,289,303"
51,"289,320,294,334,303,337","289,294,282,320,275"
66,"282,289,337,334,275,351,272,268","275,272,282,268,289,337,351"
82,"351,272,268,275,282,337,334,361","272,275,268,258,351,282,337"
97,"361,258,372,272,268,385,351,275","258,268,244,361,272,275,372,351"
124,"385,395,244,408,230,258,289,372,334","244,230,258,268,361,372,385,395"
144,"421,408,230,289,31,0,82,395,385,58","230,244,421,395,408,337,334,289"
244,"385,124,395,372,408,361","124,97,361,372,144,385,82"
230,"421,408,124,144,395,21,282,337,165","144,124,165,408,395,385,421,372"
282,"337,66,334,351,82,58","66,337,334,58,51,351"
268,"361,351,82,372,334,97","97,82,361,66,351,124"
272,"351,82,337,361,334,97","82,66,58,351,97"
258,"372,361,97,385,351,124,82","97,361,124,82,372,351,385"
294,"51,41,31,58","41,51,58"
275,"351,337,82,334,66,361","66,82,58,337,351"
289,"66,58,51,351","51,58,41"
303,"41,31,21,20,51,0","41,31,51,21,24"
334,"282,66,275,58,272,268","282,275,58,66"
320,"51,41,24,31,20,21","51,41,31,58"
337,"282,275,66,272,58,82","282,275,66,272"
361,"268,258,97,272,275,82","258,268,97,244,124,82"
351,"272,82,268,275,282,66,258","272,82,268,282,275,66"
372,"258,268,97,244,272,82","258,244,97,268,124"
385,"124,244,258,97,268,275","258,124,244,268"
395,"124,244,230,258,268,272","124,230,144,97,244"
408,"124,230,144,244,97,51","230,124,144,0,20,21"
421,"230,144,165,361,244,124,51","144,165,230,0,20,21,24"
