frame_id,x,y,z,yaw
24,0.00960655,0.00108112,0.00512104,0.00763981
20,0.00127432,0.00365905,0.00621399,0.000880338
0,0,0,0,0
165,0.234792,0.0705993,-0.422663,2.97881
31,0.0316271,-0.00213156,0.00585456,0.0242769
21,0.00247937,0.00324724,0.00633568,0.00083561
58,0.161196,-0.00639762,0.0155446,0.13447
41,0.0669625,-0.00360343,0.00963336,0.0539068
51,0.119935,-0.00702007,0.0181447,0.0816866
66,0.199165,-0.0100737,0.00103309,0.191459
82,0.264776,-0.0146758,-0.0576579,0.455801
97,0.302895,-0.00164557,-0.119835,1.04137
124,0.323342,0.0258508,-0.282034,2.43494
144,0.310179,0.0243712,-0.35545,2.81056
244,0.248403,0.039777,-0.249742,2.13696
230,0.259572,0.0462871,-0.307569,2.59986
282,0.108832,0.00149683,-0.0681564,0.336443
268,0.189093,0.00656978,-0.0914914,0.934505
272,0.168667,0.00616772,-0.0804441,0.651881
258,0.211376,0.0227362,-0.204527,1.23022
294,0.0501242,0.000100002,-0.0726319,0.162005
275,0.147524,0.00558427,-0.0690058,0.524644
289,0.0759656,-0.00191714,-0.0677375,0.221801
303,0.0192481,0.00872726,-0.0772678,0.114761
334,0.0882499,0.008087,-0.0909326,0.233914
320,0.0303198,0.0132412,-0.0859607,0.120229
337,0.101871,0.00628544,-0.0907174,0.273813
361,0.185295,0.00353605,-0.132571,0.92496
351,0.161965,-0.00430569,-0.115733,0.567517
372,0.212733,0.00474403,-0.148999,1.50169
385,0.238418,0.00533833,-0.158827,2.35155
395,0.252061,0.0120027,-0.179823,2.6365
408,0.262967,0.0185995,-0.207329,2.74179
421,0.253647,0.0208903,-0.243214,2.87952
