mp_id,mp_x,mp_y,mp_z,descriptor_hex,observations
0,0.285503,0.233539,1.395084,"2e3cb2d2f5fdba42dff13d038cfd77ac9f39931196b83af40f5d0b63860f5d97","0;17;18"
1688,-0.584968,0.259048,0.752404,"01795125e20ba7bc30a062e8f721c1311e5c426b61f8d52eac8625246cba83b8","24;34;62;282;301"
1709,-0.549005,0.325161,0.850996,"cddfadf7b0e4bfbdfede1ff4fd77da6317537deff344ff3fecefef808cf38571","24;34;44;287;294"
1710,-0.310865,0.309146,0.897475,"70b0c1691a4b4108363de1b9d355cc98588ce5340b76eb110dc821fef10b5672","24;34;294"
1113,0.042489,-0.079613,1.542247,"2db56ce2fc3f5fbd57799d3cd37dde29ddc2173dbf627997ebdff5fc9ecbd071","0;17;18;24;319;322;324"
1114,-0.375770,0.235719,1.270173,"2d70881e6da45318234efd0d7ad3db1c5ce8770e8a06da71463d21a8dab77ad3","0;17;18;24;34;44;301;308;312;315"
1115,-0.007934,-0.008321,1.484936,"766fe344fcd8cf63c1c4fcab23ecd6364aec4569dc6be4883a3885b947bcd646","0;17;18;24;34;322;324"
1120,-0.017867,-0.032704,1.463116,"3edfeedbd796eef774097e46792bb4f069eeb7cad99830e56feffec1bf06f8bb","17;18;24;34"
1124,0.023590,-0.076400,1.532893,"29a329837c9fcb3c47e99d4f9204d224d8885f7d9b3a7d9dfd1ca5f45e8e52fd","0;17;18;24;312;315;319;324"
1128,-0.063038,0.095439,1.611286,"9f4667d50612edb0fc9293f6cb489deb6ec57cefe9e56dcea0ebeb842fb571a5","17;18;34;308;322;324"
1129,-0.158468,0.304729,1.517581,"c1df1f19caeaa597b47f5a7494928049452e6e11f3dce33264203ec01850a5f9","17;24;322"
1133,-0.011234,-0.073081,1.458312,"5abf1290a3f4bae6af3d9ae70cbee6c0e75fbfd1d65b88f59857dee78605ad1f","17;18;34"
1134,-0.012440,-0.079234,1.564949,"5efb1aa0a2843ef6aabc1ea70dbf4252a65fbdc3561980f5fbc5afe72413af5b","17;18;34;308;319;322;324"
1135,-0.027479,0.021354,1.458407,"ba095ebcd5d7f4639d04fe032cfe2740e8bb83c174ab02efb3f78a0b532cfdce","17;24;34;312;322;324"
1137,0.021925,-0.075295,1.723090,"09f97f65769fedb66cf07646bb1990332eec564dc1f8353deecb64006f98c3a8","0;17;18;24;312;319;324"
1139,0.021229,-0.150815,1.578149,"3295bde99d7794ef4b29b80a483c0c20d917c3311aeb519f39d69f77d148df8e","0;17;18;322"
1149,0.026197,-0.075251,1.747189,"025a7ff5328ab972ad8876e0bc3fa578a6755f0081b920ecc6ff7a8264a00529","0;17;18;24;308;312;315;319;322;324"
1156,0.470288,0.273244,1.507773,"60df28ef3c8d5fbc0c4dfc2df757ab50dc5a1f4eca0a633de7bdbcb8109a567b","17;18;315;322"
1164,-0.103846,0.217534,1.479037,"67855189fca9aacb0e31b95a9cf258c4db8b7e99132a4bd79c148ffc9c4b9184","0;17;18;24;34;301;308;312;315;319;322;324"
1165,-0.135940,-0.114536,1.536353,"f2c152af050a6e6d2d00f303ef4a2cd4fa850ee34cb741cdb4f08a07351ae88e","17;18;34;301;308;312"
1166,-0.156163,-0.103103,1.616793,"2f37684375fffbd84fed7def195cdfa49e1b977d97b07ccc6f5d21e7dfcf5ff7","17;24;34;308;319;324"
1172,-0.364100,-0.117470,1.577271,"3d64014d1d47c3e844e0e802535011f058cc52ea09b27d2c718d81147b3b72a2","17;18;24;34;44;301;308;312;315;319"
1179,-0.157678,0.298891,1.500933,"5c7afb25624a3db068ee76af5d9ec37b36fde4e3c5d4a54074a36f856db20751","17;24;34"
1183,-0.297795,-0.128911,1.570947,"c58a9b57b4aa699f7e0b6254d7639878334e2c3cb3dc2d2fecae774088c0c120","17;18;34;44;312;315;319"
1185,-0.491890,0.258085,1.381534,"b02cbcbe6ce9904b9abfb119a639210b893347013a6f4a1fd987fbbbd068178b","17;24;44;294;301;308"
1186,-0.588263,0.210786,1.340277,"895e2fff74cfbff61cceda67b53eb360ecfb1fc5e1b871bff5afbe801dd835fb","0;17;18;24;34;44;294;301;308;312"
1192,-0.453733,-0.285812,1.660362,"40ae292820ec793628446c09970f121080854d0c0408c015c7f130014080464a","17;18;294;315"
1194,-0.455126,-0.286644,1.661263,"40a19a2070cc61172a0d7829b7930010b02f4d1c1a188000cdad30c84002872b","17;24;34;294"
1195,-0.462167,-0.290008,1.685720,"58bb13a8338812172d099a65af1b80d0a617cd018b89818da8f52a922a84a71b","17;24;34;301;308;312"
1197,-0.316973,0.261242,1.485139,"47a087918d74a80baaf38b11c4be5eeaa10779951d49bbc08936df478064b356","17;18;24;34;315;322"
1198,-0.329035,0.270518,1.528932,"42a1ae919df4b18feeb58e1094bc5e2aa15779911659b340dd079f478040b566","17;24;34;312;315;322"
1199,-0.486940,0.241726,1.530451,"1b786f6772d2fb7621cc5ea3399fb6242efd95cdcd9824ed636dba81278676ff","17;18;294;301;308"
1203,-0.637507,0.230142,1.447247,"3ecde2da5dd1cedc5705dc8269ed3f447bcbb7e7ca336efb3f4f8fa937fff4e0","18;294;301;308"
1204,-0.663968,0.236913,1.504546,"0ad7aa9e5dd7bffc1f4ddd076cef3b40fddb9fc3c2a37aff33778e8b1f5fbcdb","0;17;18;294;301;308"
1206,-0.595596,0.214576,1.350777,"b3df7bdd3cd7bffe1fecdce734bcb760efff9fc5efbb61fff21ebfba1d9834fd","0;17;18;34;44;294;301;308;312"
1213,-0.622354,0.102456,1.560144,"8d026ff964a86951755275d699cbb9697e28168e81b466c046c962807fe940a1","17;18;308;312;315"
